id, region_id, code,name,name_ext
350, 30, 27,  turecki, powiat 
351, 30, 28,  wągrowiecki, powiat 
352, 30, 29,  wolsztyński, powiat 
353, 30, 30,  wrzesiński, powiat 
354, 30, 31,  złotowski, powiat 
355, 30, 61,  Kalisz, miasto na prawach powiatu 
356, 30, 62,  Konin, miasto na prawach powiatu 
357, 30, 63,  Leszno, miasto na prawach powiatu 
358, 30, 64,  Poznań, miasto na prawach powiatu 
359, 32, 01,  białogardzki, powiat 
360, 32, 02,  choszczeński, powiat 
361, 32, 03,  drawski, powiat 
362, 32, 04,  goleniowski, powiat 
363, 32, 05,  gryficki, powiat 
364, 32, 06,  gryfiński, powiat 
365, 32, 07,  kamieński, powiat 
366, 32, 08,  kołobrzeski, powiat 
367, 32, 09,  koszaliński, powiat 
368, 32, 10,  myśliborski, powiat 
369, 32, 11,  policki, powiat 
370, 32, 12,  pyrzycki, powiat 
371, 32, 13,  sławieński, powiat 
372, 32, 14,  stargardzki, powiat 
373, 32, 15,  szczecinecki, powiat 
374, 32, 16,  świdwiński, powiat 
375, 32, 17,  wałecki, powiat 
376, 32, 18,  łobeski, powiat 
377, 32, 61,  Koszalin, miasto na prawach powiatu 
378, 32, 62,  Szczecin, miasto na prawach powiatu 
379, 32, 63,  Świnoujście, miasto na prawach powiatu 
